time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2024-08-29,61191.57,55625.58,59043.5,193119.22,11286055300.03,57975.52,direct,
2024-09-05,58329.93,52552.05,57975.52,276121.47,15428756939.95,57354.27,direct,
2024-09-12,61794.54,57330.99,57354.27,237649.93,14095218644.41,61775.68,direct,
2024-09-19,64823.35,61582.28,61775.68,195882.36,12391037736.35,63144.83,direct,
2024-09-26,66547.69,59976.82,63144.83,266756.28,16924329274.54,60641.8,direct,
2024-10-03,64458.38,59846.16,60641.8,224961.39,13922811289.49,60585.22,direct,
2024-10-10,68401.67,58869.24,60585.22,255305.2,16393050991.64,67614.71,direct,
2024-10-17,69501.44,65171.54,67614.71,190154.56,12841284119.86,66612.97,direct,
2024-10-24,73612.24,65510.53,66612.97,240577.79,16728893537.13,72331.96,direct,
2024-10-31,76482.2,66793.64,72331.96,335434.2,23818627232.14,75643.57,direct,
2024-11-07,93479.86,74472.09,75643.57,527423.56,44361046594.52,90498.51,direct,
2024-11-14,95056.1,86679.1,90498.51,412449.07,37537874356.44,94379.92,direct,
2024-11-21,99772.99,90730.54,94379.92,415929.69,40027763543.42,95957.51,direct,
2024-11-28,99226.36,93590.91,95957.51,258112.5,24873072892.69,98751.87,direct,
2024-12-05,104028.51,91741.97,98751.87,405624.3,40160161677.39,101203.07,direct,
2024-12-12,108369.13,99232.64,101203.07,299630.74,30991142878.31,100147.26,direct,
2024-12-19,102767.84,92144.03,100147.26,345782.43,33439840369.82,99356.06,direct,
2024-12-26,99888.75,91310.52,99356.06,232565.23,21953195369.1,94392.51,direct,
2025-01-02,102747.54,92488.45,94392.51,244690.79,23889918517.91,95051.06,direct,
2025-01-09,100719.11,89153.4,95051.06,281952.33,26647358759.42,100510.84,direct,
2025-01-16,109340.21,97275.38,100510.84,361981.27,37498770045.35,103669.08,direct,
2025-01-23,107170.86,97712.77,103669.08,345868.42,35582830848.38,103742.97,direct,
2025-01-30,106472.04,91142.87,103742.97,376333.1,37340967706.58,96633.71,direct,
2025-02-06,100202.29,94087.33,96633.71,225072.82,21809378278.1,97874.61,direct,
2025-02-13,98869.28,93361.47,97874.61,113871.58,10953472033.94,96640.99,direct,
2025-02-20,99519.21,82199.13,96640.99,244033.65,22318668858.14,84128.38,direct,
2025-02-27,86537.62,83798.96,84128.38,17838.71,1517990617.67,86031.95,direct,
