time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2022-12-08,1350.33,1222.42,1231.35,3048214.92,3916848632.76,1307.5,direct,
2022-12-15,1311.34,1152.43,1307.5,3666774.08,4444976109.23,1213.84,direct,
2022-12-22,1232.63,1182.48,1213.84,2670505.25,3234236997.13,1189.27,direct,
2022-12-29,1267.02,1182.25,1189.27,2423936.32,2945201443.28,1256.42,direct,
2023-01-05,1393.42,1236.5,1256.42,3266237.6,4240957934.78,1388.95,direct,
2023-01-12,1610.01,1367.5,1388.95,4217949.16,6349222058.62,1512.28,direct,
2023-01-19,1678.11,1509.86,1512.28,4012752.93,6418036812.52,1610.94,direct,
2023-01-26,1658.36,1539.51,1610.94,3275686.26,5224654307.31,1641.61,direct,
2023-02-02,1711.99,1607.64,1641.61,2616622.45,4333916372.89,1650.95,direct,
2023-02-09,1678.37,1464.59,1650.95,2901285.64,4493878612.0,1675.34,direct,
2023-02-16,1741.06,1598.66,1675.34,2751840.79,4613744728.64,1643.28,direct,
2023-02-23,1678.49,1560.74,1643.28,2361509.32,3851175183.09,1665.45,direct,
2023-03-02,1677.33,1526.74,1665.45,2030526.63,3201867174.93,1532.44,direct,
2023-03-09,1783.47,1372.27,1532.44,4270207.01,6651048227.09,1652.94,direct,
2023-03-16,1845.39,1636.09,1652.94,2953986.52,5209231154.43,1738.78,direct,
2023-03-23,1859.48,1689.98,1738.78,1989328.32,3519236336.03,1793.38,direct,
2023-03-30,1939.99,1764.32,1793.38,1921842.66,3523135586.93,1909.28,direct,
2023-04-06,1937.09,1827.69,1909.28,1464446.48,2758287391.45,1918.62,direct,
2023-04-13,2141.06,1901.56,1918.62,2387941.46,4905686229.74,1935.92,direct,
2023-04-20,1981.29,1787.84,1935.92,2107588.6,3964064802.7,1866.8,direct,
2023-04-27,1939.2,1807.93,1866.8,1596738.47,3005714737.62,1906.04,direct,
2023-05-04,2018.09,1792.58,1906.04,1813481.96,3428789322.96,1842.62,direct,
2023-05-11,1846.84,1740.86,1842.62,1223867.91,2208327045.9,1822.22,direct,
2023-05-18,1871.1,1772.4,1822.22,819518.22,1490322974.41,1799.99,direct,
2023-05-25,1927.41,1762.69,1799.99,942067.55,1752261451.96,1874.03,direct,
2023-06-01,1913.76,1779.9,1874.03,1159900.07,2159214170.62,1832.56,direct,
2023-06-08,1861.23,1631.71,1832.56,1129355.47,1983775469.92,1650.8,direct,
2023-06-15,1901.09,1622.51,1650.8,1155911.37,2018928388.36,1889.61,direct,
2023-06-22,1935.61,1816.8,1889.61,1098984.45,2071959903.14,1827.54,direct,
2023-06-29,1976.4,1824.32,1827.54,1050370.23,2009168071.45,1910.36,direct,
2023-07-06,1957.31,1826.76,1910.36,816513.96,1532756343.55,1871.83,direct,
2023-07-13,2028.23,1863.04,1871.83,1224929.0,2369239509.26,1888.8,direct,
2023-07-20,1928.8,1833.52,1888.8,777386.24,1456429506.06,1871.94,direct,
2023-07-27,1886.25,1812.77,1871.94,764314.31,1418144773.84,1839.07,direct,
2023-08-03,1875.47,1800.61,1839.07,715505.32,1315878346.02,1854.14,direct,
2023-08-10,1864.25,1796.32,1854.14,498626.89,916628482.71,1805.68,direct,
2023-08-17,1808.11,1538.26,1805.68,1267608.38,2124946209.97,1679.23,direct,
2023-08-24,1745.27,1622.25,1679.23,800353.8,1339939462.52,1705.51,direct,
2023-08-31,1725.0,1602.15,1705.51,692624.0,1138731632.67,1632.35,direct,
2023-09-07,1658.54,1531.41,1632.35,892014.66,1430460076.49,1607.97,direct,
2023-09-14,1669.3,1605.7,1607.97,803398.03,1312546797.5,1622.39,direct,
2023-09-21,1632.85,1563.59,1622.39,756833.68,1206132748.05,1597.73,direct,
2023-09-28,1756.57,1597.1,1597.73,1390136.52,2320208115.97,1646.79,direct,
2023-10-05,1661.26,1545.6,1646.79,1014127.74,1623954014.94,1566.52,direct,
2023-10-12,1640.11,1521.78,1566.52,1001579.32,1570349065.33,1563.66,direct,
2023-10-19,1854.43,1542.75,1563.66,1955256.53,3341169521.75,1787.67,direct,
2023-10-26,1865.88,1745.3,1787.67,1380815.6,2488096763.07,1847.63,direct,
2023-11-02,1915.3,1777.57,1847.63,1486108.35,2765297642.93,1889.05,direct,
2023-11-09,2136.09,1883.26,1889.05,2398299.72,4887291357.42,2059.63,direct,
2023-11-16,2092.34,1906.37,2059.63,1930609.58,3859320380.89,2064.08,direct,
2023-11-23,2133.82,1986.06,2064.08,1358266.13,2795086479.11,2029.17,direct,
2023-11-30,2312.02,2021.3,2029.17,1908494.93,4174583904.02,2232.96,direct,
2023-12-07,2403.29,2133.47,2232.96,2064652.64,4697063759.38,2260.72,direct,
